,Namn,url,FindaGrave,Wikidata,Län,Kommun
0,Death of Anna Persdotter,https://www.findagrave.com/cemetery/2744732/death-of-anna-persdotter,2744732,,Dalarnas län,Leksands kommun
1,Grangärde cemetery,https://www.findagrave.com/cemetery/2568322/grang%C3%A4rde-cemetery,2568322,,Dalarnas län,Ludvika kommun
2,Blyberg Elfdalen,https://www.findagrave.com/cemetery/2643946/blyberg-elfdalen,2643946,,Dalarnas län,Älvdalens kommun
3,Norrange,https://www.findagrave.com/cemetery/2204753/norrange,2204753,,Gävleborgs län,Bollnäs kommun
4,Haparanda Cemetery,https://www.findagrave.com/cemetery/2280691/haparanda-cemetery,2280691,,Norrbottens län,Haparanda kommun
5,Älvsbyn kyrkogården,https://www.findagrave.com/cemetery/2288967/%C3%A4lvsbyn-kyrkog%C3%A5rden,2288967,,Norrbottens län,Älvsbyns kommun
6,Grelsbyn Cemetery,https://www.findagrave.com/cemetery/2637788/grelsbyn-cemetery,2637788,,Norrbottens län,Överkalix kommun
7,Gamla Kyrkogården,https://www.findagrave.com/cemetery/2465125/gamla-kyrkog%C3%A5rden,2465125,,Skåne län,Hörby kommun
8,Minneslund nya kyrkogården,https://www.findagrave.com/cemetery/2704141/minneslund-nya-kyrkog%C3%A5rden,2704141,,Skåne län,Kristianstads kommun
9,Perstorp's (Osta) Eastern Cemetery,https://www.findagrave.com/cemetery/2535544/perstorp's-(osta)-eastern-cemetery,2535544,,Skåne län,Perstorps kommun
10,Perstorp's Western Cemetery,https://www.findagrave.com/cemetery/2561961/perstorp's-western-cemetery,2561961,,Skåne län,Perstorps kommun
11,Hemma Hos,https://www.findagrave.com/cemetery/2593836/hemma-hos,2593836,,Stockholms län,Järfälla kommun
12,Holo Gamla Kyrkogård,https://www.findagrave.com/cemetery/2665111/holo-gamla-kyrkog%C3%A5rd,2665111,,Stockholms län,Södertälje kommun
13,Nya kyrkogården,https://www.findagrave.com/cemetery/2740103/nya-kyrkog%C3%A5rden,2740103,,Stockholms län,Vaxholms kommun
14,Johan Petter Johansson Burial Site,https://www.findagrave.com/cemetery/2651641/johan-petter-johansson-burial-site,2651641,,Uppsala län,Enköpings kommun
15,Filipstad,https://www.findagrave.com/cemetery/2663160/filipstad,2663160,,Värmlands län,Filipstads kommun
16,Hammarö södra kyrkogård,https://www.findagrave.com/cemetery/2619550/hammar%C3%B6-s%C3%B6dra-kyrkog%C3%A5rd,2619550,,Värmlands län,Hammarö kommun
17,Gillberga City Cemetery,https://www.findagrave.com/cemetery/2442824/gillberga-city-cemetery,2442824,,Värmlands län,Årjängs kommun
18,Ås kyrkogård,https://www.findagrave.com/cemetery/2395263/%C3%A5s-kyrkog%C3%A5rd,2395263,,Västernorrlands län,Sollefteå kommun
19,Aspered Arkyrkogård,https://www.findagrave.com/cemetery/2458785/aspered-arkyrkog%C3%A5rd,2458785,,Västra Götalands län,Borås kommun
20,Surteby-Kattunga,https://www.findagrave.com/cemetery/2279684/surteby-kattunga,2279684,,Västra Götalands län,Härryda kommun
21,Åsbräcka Kyrkogård,https://www.findagrave.com/cemetery/2755518/%C3%A5sbr%C3%A4cka-kyrkog%C3%A5rd,2755518,,Västra Götalands län,Lilla Edets kommun
22,Åmåls Kyrkogård,https://www.findagrave.com/cemetery/2678132/%C3%A5m%C3%A5ls-kyrkog%C3%A5rd,2678132,,Västra Götalands län,Åmåls kommun
23,Adventskyrkan Hallsberg,https://www.findagrave.com/cemetery/2758923/adventskyrkan-hallsberg,2758923,,Örebro län,Hallsbergs kommun
24,Karlskoga kyrkogård,https://www.findagrave.com/cemetery/2551824/karlskoga-kyrkog%C3%A5rd,2551824,,Örebro län,Karlskoga kommun
25,"Bellerue, Svingstad (Bankekind) Östergötlands län",https://www.findagrave.com/cemetery/2421567/bellerue%2C-svingstad-(bankekind)-%C3%B6sterg%C3%B6tlands-l%C3%A4n,2421567,,Östergötlands län,Linköpings kommun
